"filename", "language", "XML", "CSS", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"d:\projects\nextjs\mycoin\pages\api\addnewportfolio.js", "JavaScript", 0, 0, 19, 0, 0, 0, 9, 28
"d:\projects\nextjs\mycoin\pages\api\getallportfolios.js", "JavaScript", 0, 0, 93, 0, 0, 27, 73, 193
"d:\projects\nextjs\mycoin\pages\api\getallportfoliosBackup.js", "JavaScript", 0, 0, 93, 0, 0, 27, 73, 193
"d:\projects\nextjs\mycoin\pages\api\signUp.js", "JavaScript", 0, 0, 59, 0, 0, 5, 20, 84
"d:\projects\nextjs\mycoin\pages\api\signin.js", "JavaScript", 0, 0, 14, 0, 0, 1, 3, 18
"d:\projects\nextjs\mycoin\pages\api\test.js", "JavaScript", 0, 0, 6, 0, 0, 0, 4, 10
"d:\projects\nextjs\mycoin\pages\coin\[coinId].js", "JavaScript", 0, 0, 84, 0, 0, 40, 26, 150
"d:\projects\nextjs\mycoin\pages\index.js", "JavaScript", 0, 0, 44, 0, 0, 16, 30, 90
"d:\projects\nextjs\mycoin\pages\news\index.js", "JavaScript", 0, 0, 14, 0, 0, 0, 4, 18
"d:\projects\nextjs\mycoin\pages\nfts\index.js", "JavaScript", 0, 0, 15, 0, 0, 0, 8, 23
"d:\projects\nextjs\mycoin\pages\pagebackup.js", "JavaScript", 0, 0, 0, 0, 0, 2, 2, 4
"d:\projects\nextjs\mycoin\pages\portfolios.js", "JavaScript", 0, 0, 29, 0, 0, 0, 5, 34
"d:\projects\nextjs\mycoin\pages\portfolios_preview.js", "JavaScript", 0, 0, 79, 0, 0, 6, 53, 138
"d:\projects\nextjs\mycoin\pages\test.js", "JavaScript", 0, 0, 95, 0, 0, 47, 71, 213
"d:\projects\nextjs\mycoin\public\vercel.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 4
"d:\projects\nextjs\mycoin\styles\globals.css", "CSS", 0, 25, 0, 0, 0, 0, 4, 29
"Total", "-", 4, 25, 3824, 23, 9944, 371, 1403, 15594
